rank	candidate	score	fp_dist	inlier_pct	rmsd_A	n_clash	clash_pct	verdict
1	esmfold_3d12_A_structure	-0.8978	0.0677	0.8182	1.28	67	0.0199	PREDICTED BINDER
2	esmfold_b3_A_structure	-0.8978	0.0677	0.8182	1.28	67	0.0199	PREDICTED BINDER
3	esmfold_A_B_b2_noPTM_A_structure	-0.5749	0.0786	0.6364	0.88	56	0.0171	PREDICTED BINDER
4	esmfold_A_B_b2_noPTM_A_boltz2_structure	-0.5749	0.0786	0.6364	0.88	56	0.0171	PREDICTED BINDER
5	esmfold_2vwd_structure	-0.3187	0.0780	0.4545	0.94	56	0.0086	PREDICTED BINDER
6	esmfold_2vsk_A_structure	-0.2663	0.0846	0.6364	1.70	97	0.0306	PREDICTED BINDER
7	esmfold_3d11_structure	-0.1847	0.0805	0.5455	1.79	100	0.0298	PREDICTED BINDER
8	esmfold_A_B_b2_noPTM_structure	-0.1516	0.0792	0.4545	1.51	20	0.0046	PREDICTED BINDER
9	esmfold_b2_structure	-0.1516	0.0792	0.4545	1.51	20	0.0046	PREDICTED BINDER
10	esmfold_6cmi_structure	-0.1443	0.0847	0.4545	1.20	77	0.0114	PREDICTED BINDER
11	esmfold_6cmg_structure	-0.1314	0.0858	0.4545	1.18	64	0.0096	PREDICTED BINDER
12	esmfold_2vsm_structure	+0.0070	0.0792	0.4545	2.13	39	0.0089	PREDICTED BINDER
13	esmfold_A_B_b2_structure	+0.0070	0.0792	0.4545	2.13	39	0.0089	PREDICTED BINDER
14	esmfold_2vwd_A_structure	+0.0172	0.0838	0.4545	1.89	159	0.0488	PREDICTED BINDER
15	esmfold_2vwd_A_boltz2_structure	+0.0172	0.0838	0.4545	1.89	159	0.0488	PREDICTED BINDER
16	esmfold_8vf1_A_structure	+0.0562	0.0855	0.3636	1.44	93	0.0281	PREDICTED BINDER
17	esmfold_6cmg_A_structure	+0.0751	0.0872	0.4545	1.90	62	0.0184	PREDICTED BINDER
18	esmfold_6pdl_A_structure	+0.0907	0.0863	0.4545	2.01	157	0.0474	PREDICTED BINDER
19	esmfold_A_B_b3_structure	+0.1103	0.0778	0.3636	2.13	64	0.0142	PREDICTED BINDER
20	esmfold_A_B_b3_noPTM_structure	+0.1103	0.0778	0.3636	2.13	64	0.0142	PREDICTED BINDER
21	esmfold_2x9m_A_structure	+0.1328	0.0838	0.3636	1.84	112	0.0338	PREDICTED BINDER
22	esmfold_1v3d_structure	+0.1895	0.0864	0.2727	1.42	120	0.0178	PREDICTED BINDER
23	esmfold_8wjb_structure	+0.3202	0.0985	0.2727	1.17	267	0.0409	PREDICTED BINDER
24	esmfold_6p72_A_structure	+0.3759	0.1076	0.4545	1.80	67	0.0196	PREDICTED BINDER
25	esmfold_5kv9_structure	+0.3818	0.0963	0.3636	2.03	242	0.0717	unlikely binder
26	esmfold_5nop_structure	+0.3883	0.0945	0.2727	1.69	141	0.0211	unlikely binder
27	esmfold_9dvd_structure	+0.4237	0.0865	0.2727	2.32	423	0.0722	unlikely binder
28	esmfold_2vsk_structure	+0.4259	0.1030	0.2727	1.30	133	0.0158	unlikely binder
29	esmfold_1v3d_A_structure	+0.4716	0.0924	0.2727	2.14	63	0.0187	unlikely binder
30	esmfold_4wwy_structure	+0.4766	0.0958	0.2727	1.95	302	0.0703	unlikely binder
31	esmfold_8vf1_structure	+0.5012	0.1035	0.3636	2.05	64	0.0097	unlikely binder
32	esmfold_9dvd_A_structure	+0.5090	0.0959	0.2727	2.07	154	0.0474	unlikely binder
33	esmfold_3gxu_structure	+0.5134	0.1058	0.2727	1.47	58	0.0233	unlikely binder
34	esmfold_2bba_structure	+0.5576	0.1107	0.2727	1.34	183	0.1144	unlikely binder
35	esmfold_brca1_structure	+0.5780	0.1097	0.3636	1.96	116	0.0212	unlikely binder
36	esmfold_2hle_structure	+0.6041	0.1066	0.2727	1.77	26	0.0101	unlikely binder
37	esmfold_7syy_A_structure	+0.6281	0.0983	0.2727	2.38	402	0.1233	unlikely binder
38	esmfold_6pd4_structure	+0.6345	0.0992	0.2727	2.35	118	0.0173	unlikely binder
39	esmfold_2bba_A_structure	+0.6637	0.1104	0.2727	1.77	165	0.1111	unlikely binder
40	esmfold_2hle_A_structure	+0.6702	0.1105	0.3636	2.27	157	0.1044	unlikely binder
41	esmfold_1iko_structure	+0.8002	0.1139	0.2727	2.08	61	0.0540	unlikely binder
42	esmfold_6p72_structure	+0.9462	0.1300	0.2727	1.64	28	0.0041	unlikely binder
43	esmfold_6vy5_structure	+1.1030	0.0819	0.1818	—	42	0.0065	unlikely binder
44	esmfold_1trn_structure	+1.3569	0.0977	0.1818	—	245	0.0730	unlikely binder
45	esmfold_7syy_structure	+1.3649	0.0904	0.0909	—	256	0.0386	unlikely binder
46	esmfold_3d12_structure	+1.4358	0.0948	0.0909	—	407	0.0452	unlikely binder
47	esmfold_b3_structure	+1.4358	0.0948	0.0909	—	60	0.0067	unlikely binder
